"","Deaths","month_year","month","time"
"1",23,1999-01-01,1999 Jan,1
"2",NA,1999-02-01,1999 Feb,2
"3",17,1999-03-01,1999 Mar,3
"4",17,1999-04-01,1999 Apr,4
"5",23,1999-05-01,1999 May,5
"6",12,1999-06-01,1999 Jun,6
"7",16,1999-07-01,1999 Jul,7
"8",12,1999-08-01,1999 Aug,8
"9",17,1999-09-01,1999 Sep,9
"10",17,1999-10-01,1999 Oct,10
"11",16,1999-11-01,1999 Nov,11
"12",18,1999-12-01,1999 Dec,12
"13",13,2000-01-01,2000 Jan,13
"14",15,2000-02-01,2000 Feb,14
"15",21,2000-03-01,2000 Mar,15
"16",18,2000-04-01,2000 Apr,16
"17",12,2000-05-01,2000 May,17
"18",24,2000-06-01,2000 Jun,18
"19",13,2000-07-01,2000 Jul,19
"20",15,2000-08-01,2000 Aug,20
"21",13,2000-09-01,2000 Sep,21
"22",25,2000-10-01,2000 Oct,22
"23",17,2000-11-01,2000 Nov,23
"24",NA,2000-12-01,2000 Dec,24
"25",17,2001-01-01,2001 Jan,25
"26",NA,2001-02-01,2001 Feb,26
"27",17,2001-03-01,2001 Mar,27
"28",21,2001-04-01,2001 Apr,28
"29",15,2001-05-01,2001 May,29
"30",17,2001-06-01,2001 Jun,30
"31",30,2001-07-01,2001 Jul,31
"32",19,2001-08-01,2001 Aug,32
"33",15,2001-09-01,2001 Sep,33
"34",24,2001-10-01,2001 Oct,34
"35",10,2001-11-01,2001 Nov,35
"36",13,2001-12-01,2001 Dec,36
"37",25,2002-01-01,2002 Jan,37
"38",11,2002-02-01,2002 Feb,38
"39",19,2002-03-01,2002 Mar,39
"40",13,2002-04-01,2002 Apr,40
"41",15,2002-05-01,2002 May,41
"42",17,2002-06-01,2002 Jun,42
"43",15,2002-07-01,2002 Jul,43
"44",19,2002-08-01,2002 Aug,44
"45",20,2002-09-01,2002 Sep,45
"46",15,2002-10-01,2002 Oct,46
"47",15,2002-11-01,2002 Nov,47
"48",17,2002-12-01,2002 Dec,48
"49",17,2003-01-01,2003 Jan,49
"50",18,2003-02-01,2003 Feb,50
"51",22,2003-03-01,2003 Mar,51
"52",13,2003-04-01,2003 Apr,52
"53",16,2003-05-01,2003 May,53
"54",19,2003-06-01,2003 Jun,54
"55",20,2003-07-01,2003 Jul,55
"56",19,2003-08-01,2003 Aug,56
"57",25,2003-09-01,2003 Sep,57
"58",15,2003-10-01,2003 Oct,58
"59",18,2003-11-01,2003 Nov,59
"60",23,2003-12-01,2003 Dec,60
"61",24,2004-01-01,2004 Jan,61
"62",NA,2004-02-01,2004 Feb,62
"63",26,2004-03-01,2004 Mar,63
"64",13,2004-04-01,2004 Apr,64
"65",19,2004-05-01,2004 May,65
"66",15,2004-06-01,2004 Jun,66
"67",13,2004-07-01,2004 Jul,67
"68",11,2004-08-01,2004 Aug,68
"69",15,2004-09-01,2004 Sep,69
"70",18,2004-10-01,2004 Oct,70
"71",NA,2004-11-01,2004 Nov,71
"72",14,2004-12-01,2004 Dec,72
"73",10,2005-01-01,2005 Jan,73
"74",18,2005-02-01,2005 Feb,74
"75",19,2005-03-01,2005 Mar,75
"76",22,2005-04-01,2005 Apr,76
"77",11,2005-05-01,2005 May,77
"78",12,2005-06-01,2005 Jun,78
"79",15,2005-07-01,2005 Jul,79
"80",19,2005-08-01,2005 Aug,80
"81",24,2005-09-01,2005 Sep,81
"82",15,2005-10-01,2005 Oct,82
"83",20,2005-11-01,2005 Nov,83
"84",21,2005-12-01,2005 Dec,84
"85",17,2006-01-01,2006 Jan,85
"86",16,2006-02-01,2006 Feb,86
"87",13,2006-03-01,2006 Mar,87
"88",21,2006-04-01,2006 Apr,88
"89",14,2006-05-01,2006 May,89
"90",17,2006-06-01,2006 Jun,90
"91",23,2006-07-01,2006 Jul,91
"92",15,2006-08-01,2006 Aug,92
"93",20,2006-09-01,2006 Sep,93
"94",15,2006-10-01,2006 Oct,94
"95",15,2006-11-01,2006 Nov,95
"96",12,2006-12-01,2006 Dec,96
"97",18,2007-01-01,2007 Jan,97
"98",20,2007-02-01,2007 Feb,98
"99",17,2007-03-01,2007 Mar,99
"100",13,2007-04-01,2007 Apr,100
"101",19,2007-05-01,2007 May,101
"102",12,2007-06-01,2007 Jun,102
"103",25,2007-07-01,2007 Jul,103
"104",15,2007-08-01,2007 Aug,104
"105",18,2007-09-01,2007 Sep,105
"106",16,2007-10-01,2007 Oct,106
"107",11,2007-11-01,2007 Nov,107
"108",10,2007-12-01,2007 Dec,108
"109",18,2008-01-01,2008 Jan,109
"110",17,2008-02-01,2008 Feb,110
"111",18,2008-03-01,2008 Mar,111
"112",24,2008-04-01,2008 Apr,112
"113",14,2008-05-01,2008 May,113
"114",19,2008-06-01,2008 Jun,114
"115",13,2008-07-01,2008 Jul,115
"116",10,2008-08-01,2008 Aug,116
"117",14,2008-09-01,2008 Sep,117
"118",15,2008-10-01,2008 Oct,118
"119",16,2008-11-01,2008 Nov,119
"120",20,2008-12-01,2008 Dec,120
"121",14,2009-01-01,2009 Jan,121
"122",13,2009-02-01,2009 Feb,122
"123",13,2009-03-01,2009 Mar,123
"124",18,2009-04-01,2009 Apr,124
"125",16,2009-05-01,2009 May,125
"126",16,2009-06-01,2009 Jun,126
"127",15,2009-07-01,2009 Jul,127
"128",12,2009-08-01,2009 Aug,128
"129",15,2009-09-01,2009 Sep,129
"130",15,2009-10-01,2009 Oct,130
"131",20,2009-11-01,2009 Nov,131
"132",17,2009-12-01,2009 Dec,132
"133",NA,2010-01-01,2010 Jan,133
"134",25,2010-02-01,2010 Feb,134
"135",10,2010-03-01,2010 Mar,135
"136",16,2010-04-01,2010 Apr,136
"137",15,2010-05-01,2010 May,137
