"","Deaths","month_year","month","time"
"1",73,1999-01-01,1999 Jan,1
"2",62,1999-02-01,1999 Feb,2
"3",53,1999-03-01,1999 Mar,3
"4",64,1999-04-01,1999 Apr,4
"5",64,1999-05-01,1999 May,5
"6",73,1999-06-01,1999 Jun,6
"7",46,1999-07-01,1999 Jul,7
"8",57,1999-08-01,1999 Aug,8
"9",67,1999-09-01,1999 Sep,9
"10",56,1999-10-01,1999 Oct,10
"11",49,1999-11-01,1999 Nov,11
"12",62,1999-12-01,1999 Dec,12
"13",60,2000-01-01,2000 Jan,13
"14",49,2000-02-01,2000 Feb,14
"15",58,2000-03-01,2000 Mar,15
"16",50,2000-04-01,2000 Apr,16
"17",61,2000-05-01,2000 May,17
"18",69,2000-06-01,2000 Jun,18
"19",75,2000-07-01,2000 Jul,19
"20",78,2000-08-01,2000 Aug,20
"21",75,2000-09-01,2000 Sep,21
"22",79,2000-10-01,2000 Oct,22
"23",46,2000-11-01,2000 Nov,23
"24",51,2000-12-01,2000 Dec,24
"25",52,2001-01-01,2001 Jan,25
"26",50,2001-02-01,2001 Feb,26
"27",62,2001-03-01,2001 Mar,27
"28",64,2001-04-01,2001 Apr,28
"29",57,2001-05-01,2001 May,29
"30",63,2001-06-01,2001 Jun,30
"31",71,2001-07-01,2001 Jul,31
"32",74,2001-08-01,2001 Aug,32
"33",71,2001-09-01,2001 Sep,33
"34",81,2001-10-01,2001 Oct,34
"35",64,2001-11-01,2001 Nov,35
"36",82,2001-12-01,2001 Dec,36
"37",69,2002-01-01,2002 Jan,37
"38",45,2002-02-01,2002 Feb,38
"39",67,2002-03-01,2002 Mar,39
"40",60,2002-04-01,2002 Apr,40
"41",62,2002-05-01,2002 May,41
"42",80,2002-06-01,2002 Jun,42
"43",82,2002-07-01,2002 Jul,43
"44",83,2002-08-01,2002 Aug,44
"45",68,2002-09-01,2002 Sep,45
"46",72,2002-10-01,2002 Oct,46
"47",56,2002-11-01,2002 Nov,47
"48",46,2002-12-01,2002 Dec,48
"49",70,2003-01-01,2003 Jan,49
"50",52,2003-02-01,2003 Feb,50
"51",61,2003-03-01,2003 Mar,51
"52",55,2003-04-01,2003 Apr,52
"53",87,2003-05-01,2003 May,53
"54",87,2003-06-01,2003 Jun,54
"55",81,2003-07-01,2003 Jul,55
"56",65,2003-08-01,2003 Aug,56
"57",64,2003-09-01,2003 Sep,57
"58",65,2003-10-01,2003 Oct,58
"59",64,2003-11-01,2003 Nov,59
"60",76,2003-12-01,2003 Dec,60
"61",58,2004-01-01,2004 Jan,61
"62",41,2004-02-01,2004 Feb,62
"63",74,2004-03-01,2004 Mar,63
"64",69,2004-04-01,2004 Apr,64
"65",80,2004-05-01,2004 May,65
"66",66,2004-06-01,2004 Jun,66
"67",75,2004-07-01,2004 Jul,67
"68",77,2004-08-01,2004 Aug,68
"69",72,2004-09-01,2004 Sep,69
"70",72,2004-10-01,2004 Oct,70
"71",68,2004-11-01,2004 Nov,71
"72",64,2004-12-01,2004 Dec,72
"73",84,2005-01-01,2005 Jan,73
"74",65,2005-02-01,2005 Feb,74
"75",67,2005-03-01,2005 Mar,75
"76",84,2005-04-01,2005 Apr,76
"77",74,2005-05-01,2005 May,77
"78",69,2005-06-01,2005 Jun,78
"79",68,2005-07-01,2005 Jul,79
"80",71,2005-08-01,2005 Aug,80
"81",71,2005-09-01,2005 Sep,81
"82",73,2005-10-01,2005 Oct,82
"83",86,2005-11-01,2005 Nov,83
"84",57,2005-12-01,2005 Dec,84
"85",69,2006-01-01,2006 Jan,85
"86",51,2006-02-01,2006 Feb,86
"87",74,2006-03-01,2006 Mar,87
"88",76,2006-04-01,2006 Apr,88
"89",85,2006-05-01,2006 May,89
"90",67,2006-06-01,2006 Jun,90
"91",78,2006-07-01,2006 Jul,91
"92",81,2006-08-01,2006 Aug,92
"93",76,2006-09-01,2006 Sep,93
"94",53,2006-10-01,2006 Oct,94
"95",55,2006-11-01,2006 Nov,95
"96",62,2006-12-01,2006 Dec,96
"97",73,2007-01-01,2007 Jan,97
"98",73,2007-02-01,2007 Feb,98
"99",74,2007-03-01,2007 Mar,99
"100",70,2007-04-01,2007 Apr,100
"101",75,2007-05-01,2007 May,101
"102",69,2007-06-01,2007 Jun,102
"103",85,2007-07-01,2007 Jul,103
"104",78,2007-08-01,2007 Aug,104
"105",85,2007-09-01,2007 Sep,105
"106",72,2007-10-01,2007 Oct,106
"107",60,2007-11-01,2007 Nov,107
"108",80,2007-12-01,2007 Dec,108
"109",54,2008-01-01,2008 Jan,109
"110",58,2008-02-01,2008 Feb,110
"111",58,2008-03-01,2008 Mar,111
"112",85,2008-04-01,2008 Apr,112
"113",65,2008-05-01,2008 May,113
"114",77,2008-06-01,2008 Jun,114
"115",84,2008-07-01,2008 Jul,115
"116",83,2008-08-01,2008 Aug,116
"117",73,2008-09-01,2008 Sep,117
"118",75,2008-10-01,2008 Oct,118
"119",67,2008-11-01,2008 Nov,119
"120",63,2008-12-01,2008 Dec,120
"121",71,2009-01-01,2009 Jan,121
"122",51,2009-02-01,2009 Feb,122
"123",69,2009-03-01,2009 Mar,123
"124",71,2009-04-01,2009 Apr,124
"125",87,2009-05-01,2009 May,125
"126",64,2009-06-01,2009 Jun,126
"127",75,2009-07-01,2009 Jul,127
"128",70,2009-08-01,2009 Aug,128
"129",63,2009-09-01,2009 Sep,129
"130",70,2009-10-01,2009 Oct,130
"131",67,2009-11-01,2009 Nov,131
"132",67,2009-12-01,2009 Dec,132
"133",68,2010-01-01,2010 Jan,133
"134",46,2010-02-01,2010 Feb,134
"135",55,2010-03-01,2010 Mar,135
"136",58,2010-04-01,2010 Apr,136
"137",63,2010-05-01,2010 May,137
"138",63,2010-06-01,2010 Jun,138
"139",62,2010-07-01,2010 Jul,139
